, wheat,rice,multigrain,northern china,southern china,with soup,dried mixing,stir-fried/Scrambled ,braise,regions
noodles with soy bean paste,1,0,0,1,0,0,1,0,0,BJ
hele noodles,0,0,1,1,0,1,1,1,0,HE
shanxi sliced noodles,1,0,0,1,0,1,1,1,0,SX
orecchiette,1,0,1,1,0,1,1,1,0,SN
liangpi,1,1,0,1,0,0,1,0,0,SN;NX;GS;QH
qishang minced noodles,1,0,0,1,0,0,1,0,0,SN
minced mutton noodles,1,0,0,1,0,1,0,0,0,NX
shaanxi biangbiang noddles,1,0,0,1,0,0,1,0,0,SN
braised noodles,1,0,0,1,0,0,1,0,1,NM
lanzhou hand-pulled beef noodles,1,0,0,1,0,1,0,0,0,GS
serofluid noodles,1,0,0,1,0,1,0,0,0,GS;SN
firecracker noodles,1,0,0,1,0,0,1,0,0,QH
shuichuan long noodles,1,0,0,1,0,1,0,0,0,GS
bench-leg noodles,1,0,0,1,0,1,0,0,0,QH
xinjiang hand-pulled noodles,1,0,0,1,0,0,1,1,0,XJ
tibetan noodle soup,1,0,0,1,0,1,0,0,0,XZ
jiajia noodles,0,0,1,1,0,0,1,0,0,XZ
cold noodle salad with sesame paste,1,0,0,1,0,0,1,0,0,SD
szechuan cold noodle salad,1,0,0,0,1,0,1,0,0,SC
penglai seafood noodle soup,1,0,0,1,0,1,0,0,0,SD
yanji cold noodles ,0,0,1,1,0,1,0,0,0,JL
henan stewed noodles,1,0,0,1,0,1,0,0,0,HA
henan lo mein,1,0,0,1,0,0,1,0,0,HA
wuhan hot noodles with sesame paste,1,0,0,1,0,0,1,0,0,HB
xiangyang beef noodles,1,0,0,0,1,1,0,0,0,HB
changsha rice noodles,0,1,0,0,1,1,0,0,0,HN
changde rice noodles,0,1,0,0,1,1,0,0,0,HN
chenzhou fish noodles,0,1,0,0,1,1,0,0,0,HN
anhui flat noodles,1,0,0,1,0,1,0,0,0,AH
kunshan aozao noodles ,1,0,0,0,1,1,0,0,0,JS
changzhou silver strings noodles,1,0,0,0,1,1,0,0,0,JS
nanjing fried pork rinds noodles ,1,0,0,0,1,1,0,0,0,JS
huaian fresh water eel noodles,1,0,0,0,1,1,0,0,0,JS
fengzhen pork noodles,1,0,0,0,1,1,0,0,0,JS
shanghai noodles with braised pork chop,1,0,0,0,1,1,0,0,0,SH
hangzhou pian er chuan ,1,0,0,0,1,1,0,0,0,ZJ
yingtan beef rice noodle,0,1,0,0,1,1,0,0,0,JX
jingdezhen cold rice noodles,0,1,0,0,1,0,1,0,0,JX
nanchang rice noodles,0,1,0,0,1,0,1,0,0,JX
shangyao fried rice noodles,0,1,0,0,1,0,0,1,0,JX
yibing burning noodles,1,0,0,0,1,0,1,0,0,SC
chongqing street noodles,1,0,0,0,1,1,0,0,0,CQ
crossing-the-bridge rice noodles,0,1,0,0,1,1,0,0,0,YN
tengchong er si,0,1,0,0,1,1,0,1,0,YN
samll pot rice noodles,0,1,0,0,1,1,0,0,0,YN
clay pot rice noodles,0,1,0,0,1,1,0,0,0,YN
chang wang noodles,1,0,0,0,1,1,0,0,0,GZ
zunyi mutton rice noodles,0,0,0,0,1,1,0,0,0,GZ
noodles with tofu pudding,1,0,0,0,1,1,0,0,0,GZ
guilin rice noodles,0,1,0,0,1,0,1,0,0,GX
liuzhou luosifen,0,1,0,0,1,1,0,0,0,GX
nanning laoyou rice noodles,0,1,0,0,1,1,0,0,0,GX
hainan cold noddles,0,1,0,0,1,0,1,0,0,GX
beef chow fun,0,1,0,0,1,0,0,1,0,GD
char kway teow,0,1,0,0,1,0,0,1,0,GD
chow mein,1,0,0,0,1,0,0,1,0,GD
shacha noodles,1,0,0,0,1,1,0,0,0,FJ
scallion oil noodles ,1,0,0,0,1,0,1,0,0,JS;ZJ;SH
peanut butter noodles,1,0,0,0,1,0,1,0,0,FJ
wonton noodles,1,0,0,0,1,1,0,0,0,GD;HK
cart noodles,1,1,0,0,1,1,0,0,0,HK
shrimp roe lo mien,1,0,0,0,1,0,1,0,0,MO
tianshui noodles,1,0,0,0,1,0,1,0,0,SC
lamb rack pulled noodles,1,0,0,1,0,1,0,0,0,NX
mutton rub noodles,1,0,0,1,0,1,0,0,0,NX
plain noodles,1,0,0,0,1,1,0,0,0,JS;SH
zhenjiang pot cover noodles,1,0,0,0,1,1,0,0,0,JS
stir fry yi mein,1,0,0,0,1,0,0,1,0,HK
shunde fish noodles,1,0,0,0,1,1,0,1,0,YN
rice noodles with tofu pudding,0,1,0,0,1,0,1,0,0,YN
rice noodles with soy bean paste,0,1,0,0,1,1,0,0,0,YN
hot and sour vermicelli,0,0,1,0,1,1,0,0,0,SC;CQ
intestines vermicelli ,0,0,1,0,1,1,0,0,0,SC
qinghai pulled noodles,1,0,0,1,0,1,0,0,0,QH
noodles with garlic dipping,1,0,0,1,0,0,1,0,0,SN
mee sua soup,1,0,0,0,1,1,0,0,0,FJ
taiwanese beef noodle soup,1,0,0,0,1,1,0,0,0,TW
pot burn noodles,1,0,0,0,1,1,0,0,0,TW
pot burn noodles,1,0,0,0,1,1,0,0,0,TW
sesame oil chicken mee sua ,1,0,0,0,1,1,0,0,0,FJ;TW
pork knuckle mee sua,1,0,0,0,1,1,0,0,0,FJ;TW
oyster  mee sua ,1,0,0,0,1,1,0,0,0,FJ;TW
